iter	Logloss
0	0.6648196178
1	0.6409653948
2	0.621968903
3	0.6050584466
4	0.5916270067
5	0.5805565837
6	0.5701057666
7	0.5631257789
8	0.556657967
9	0.5504086403
10	0.5457429224
11	0.5418302378
12	0.5377957132
13	0.5339087886
14	0.5307015471
15	0.5279145208
16	0.5254187874
17	0.5234735225
18	0.5216095787
19	0.5197467027
20	0.5178389047
21	0.5162189346
22	0.51472655
23	0.5132877212
24	0.5116783888
25	0.5104999942
26	0.5094087275
27	0.5082832839
28	0.5072378081
29	0.5062677449
30	0.5054584027
31	0.5045241451
32	0.5036206765
33	0.5027955721
34	0.5018981496
35	0.5010120711
36	0.5002675432
37	0.4993789891
38	0.4983981838
39	0.4976265549
40	0.4970369725
41	0.4964158936
42	0.4958017464
43	0.4953296414
44	0.4947033459
45	0.4941312332
46	0.4934185445
47	0.4928468359
48	0.4922804847
49	0.4918456589
50	0.4912971521
51	0.490770382
52	0.4902154027
53	0.4896508699
54	0.4893234463
55	0.488544405
56	0.4882268758
57	0.4875890238
58	0.4871635592
59	0.4866132236
60	0.4862619377
61	0.4856873798
62	0.485276757
63	0.4849519216
64	0.4845238214
65	0.4840493418
66	0.4836933832
67	0.4832797371
68	0.4827509145
69	0.4823843545
70	0.4820185696
71	0.4817070377
72	0.4813579721
73	0.4810218082
74	0.4806576145
75	0.4803213419
76	0.479868497
77	0.4795535345
78	0.4793001603
79	0.4789468558
80	0.478571721
81	0.4781317838
82	0.4779067394
83	0.4775348742
84	0.4772293324
85	0.4769733914
86	0.4766209975
87	0.4763561113
88	0.4759674765
89	0.4757029687
90	0.475353973
91	0.4750850084
92	0.474849767
93	0.4745597902
94	0.474047033
95	0.473772393
96	0.4733667512
97	0.4731177919
98	0.4726690272
99	0.4724025359
100	0.4721000835
101	0.4716559929
102	0.4714452184
103	0.4710678777
104	0.4708352976
105	0.4705935423
106	0.4703559226
107	0.4699781187
108	0.4696418404
109	0.4693770679
110	0.4691011688
111	0.4687490012
112	0.4685617517
113	0.4682470053
114	0.4679362733
115	0.467685211
116	0.4673606102
117	0.4669717208
118	0.4666542923
119	0.4663911775
120	0.466134493
121	0.4659052071
122	0.4657188196
123	0.4653816914
124	0.4650757803
125	0.464829308
126	0.4644160131
127	0.4641319507
128	0.4638066476
129	0.4633886608
130	0.463154521
131	0.4627548006
132	0.462409228
133	0.4621856392
134	0.4619174537
135	0.4615973986
136	0.4611790963
137	0.460881605
138	0.4604882773
139	0.4602545227
140	0.4599646135
141	0.4596103999
142	0.459315935
143	0.4590618123
144	0.458789365
145	0.4584773299
146	0.458122017
147	0.4578012673
148	0.457487341
149	0.4572697646
150	0.457022109
151	0.4566297226
152	0.4563266214
153	0.4560403558
154	0.45578339
155	0.4555949632
156	0.455388512
157	0.4551068661
158	0.4549016025
159	0.4546025347
160	0.4543696237
161	0.4541266473
162	0.4539345417
163	0.4536779202
164	0.4533528331
165	0.4531186617
166	0.4529646627
167	0.4526446239
168	0.4523858039
